,Title,Published_date,Views,Likes,Comments,Month
0,"I Made a Custom GitHub Profile README Portfolio (and you can, too)",2022-09-21,22654,1591,66,Sep
1,5 Coding Projects (from beginner to advanced),2022-09-13,85005,4161,85,Sep
2,I Built an AI That Shoots Me in the Face When I Get Distracted,2022-09-01,139486,3825,162,Sep
3,Why I’m able to Code 4 Hours with NO breaks (how to stay focused & productive),2022-08-10,242768,12893,672,Aug
4,My Visual Studio Code Setup for Web Development,2022-07-29,265026,8902,349,Jul
5,Everything You NEED to Know About WEB APP Architecture,2022-06-22,44575,2880,98,Jun
6,Programming Projects EVERY Computer Science Student Will Build,2022-06-10,101394,4020,96,Jun
7,"I made a TERMINAL website, with HIDDEN Easter eggs",2022-05-18,60371,3179,235,May
8,Solving Break the Code 2 - G3 Drive Walkthrough,2022-04-13,15421,400,25,Apr
9,I Coded with WSL2 for a Week,2022-04-08,111482,3317,282,Apr
10,"The Founder of codeSTACKr, Jesse: Decoded w/ Forrest Knight #1",2022-03-31,14759,628,62,Mar
11,My Favorite Computer Science Programming Project of All Time (how I broke the coding barrier),2022-03-29,258109,7251,193,Mar
12,I Custom Water Cooled My First PC EVER,2022-03-28,13908,584,61,Mar
13,The end of my channel as you know it,2021-12-31,58684,2952,273,Dec
14,My Experience with JavaScript as a Java Developer,2021-12-22,40113,1815,185,Dec
15,The Dislike Count Code is COMPLETE!,2021-12-16,21386,1705,112,Dec
16,My PROBLEM with Open Source (as seen w/ Streamlabs & OBS),2021-11-29,24341,1435,90,Nov
17,How to ACTUALLY Get an Entry Level Programming Job,2021-11-19,371447,16155,568,Nov
18,I Put the Dislike Count BACK on my Channel,2021-11-13,214116,20042,1181,Nov
19,Rejected from a Developer Job Interview? Here's how to handle it.,2021-11-04,24006,1172,97,Nov
20,Programmers are NOT Engineers?!,2021-10-31,91276,4438,853,Oct
21,The WORST Take on Open Source I've EVER Seen,2021-10-22,122533,6928,1350,Oct
22,How I Plan My Coding Projects,2021-10-06,155258,8085,202,Oct
23,I Found the BEST Mechanical Keyboard,2021-10-01,150112,2322,161,Oct
24,What Professional Software Engineers ACTUALLY Do,2021-09-28,904042,30475,1366,Sep
25,How to Setup a Node.js Project for GitHub Codespaces (& more),2021-09-22,16198,444,23,Sep
26,Concerns About The Coding Project,2021-09-16,14113,720,67,Sep
27,The Best Developer Job Market Since the Dot Com Boom,2021-09-09,26807,1475,162,Sep
28,Why Do Tech Companies Take Advantage of their Users?,2021-09-02,8218,589,79,Sep
29,What is GitHub Codespaces? (and github.dev),2021-08-31,34062,1522,62,Aug
30,How Many Programming Languages Should You Learn?,2021-08-27,94744,4632,276,Aug
31,Closing a chapter.,2021-08-23,24457,2521,278,Aug
32,GitHub CoPilot: My First Impressions of the AI Pair Programmer,2021-07-31,33246,1485,250,Jul
33,Coding the YouTube Leaderboard - Part 3: Front End w/ React,2021-07-28,14311,645,121,Jul
34,"""Just Build It"" ...but what if I don't know how?",2021-07-21,84810,7179,246,Jul
35,A Coder’s Workshop – Home Office + Desk Tour,2021-06-30,116198,3854,157,Jun
36,DarkSide: The $90 Million Dollar Hackers,2021-06-21,20808,2133,145,Jun
37,Coding the YouTube Leaderboard - Part 2: Data Structures,2021-05-31,24741,1408,198,May
38,What You Need to Know for Your Coding Career,2021-05-24,270380,12310,518,May
39,I haven't cleaned my PC in 2 years...,2021-05-17,16901,916,93,May
40,The Worst Things about being a Software Engineer,2021-04-29,78084,3766,377,Apr
41,The Best Linux Distro for You,2021-04-21,463258,15177,1589,Apr
42,Every Computer Science Student Neglects THIS,2021-04-16,29084,1661,206,Apr
43,What I Learned on My First Day of Computer Science (back in 2015),2021-04-13,19371,1093,101,Apr
44,Microsoft's attempt at destroying Linux,2021-04-09,25382,1931,302,Apr
45,"Hey Computer Science Students, DON'T TAKE UNPAID INTERNSHIPS",2021-04-06,38462,2321,255,Apr
46,My Weird Programming Techniques,2021-04-05,20609,1802,170,Apr
47,Coding Tips for Ultimate Productivity,2021-03-31,26313,1957,113,Mar
48,my problem with programmers.,2021-03-29,66903,5733,868,Mar
49,"Hey Computer Science Students, DON'T CHEAT!",2021-03-24,233739,11093,1717,Mar
50,How Long I Code a Day,2021-03-18,230521,14519,880,Mar
51,Why I Code on Linux Instead of Windows,2021-03-15,554408,27500,2113,Mar
52,Learning a New Web Development Stack | Developer Vlog (Full-Stack JavaScript),2021-03-09,44052,1517,116,Mar
53,Stack Overflow is full of idiots.,2021-03-01,214852,16041,2553,Mar
54,My New 40 TB+ NAS Server!!,2021-02-23,30147,1471,59,Feb
55,My Secret Productivity Formula,2021-02-12,32615,1736,146,Feb
56,A Computer Science Career Path: Data Science,2021-02-08,25311,1240,90,Feb
57,Arch Linux VM Setup & Coding Talk,2021-01-30,60481,1418,46,Jan
58,"My YouTube Business & Why I ""Quit"" Freelancing - AMA",2021-01-28,25029,1456,128,Jan
59,So Intel sent me a new laptop...,2021-01-20,10520,432,50,Jan
60,My Regrets as a Software Engineer,2021-01-12,57657,2839,186,Jan
61,My Coding Plan for 2021,2021-01-05,68035,2392,349,Jan
62,i failed.,2020-12-27,19756,1524,220,Dec
63,The Generations of Programming Languages | Computer Science History,2020-12-18,43902,2291,107,Dec
64,The History of Moore's Law (My Predictions) | Computer Science,2020-12-15,11224,704,83,Dec
65,You Really Want a CS Degree?,2020-12-03,65264,3355,453,Dec
66,6 Mistakes Beginner Programmers Make,2020-11-27,134974,7505,396,Nov
67,What You Need to Succeed in Computer Science,2020-11-24,86420,5044,202,Nov
68,3 More Data Structures You Need to Know,2020-11-06,70361,5214,333,Nov
69,What are Unit Tests? (Coding Examples),2020-10-30,14678,612,36,Oct
70,The Most Common Mistakes of New Software Engineers,2020-10-26,36289,2044,124,Oct
71,Everything Else You Need to Know as a Computer Science Student,2020-10-20,32969,1496,121,Oct
72,4 Data Structures You Need to Know,2020-10-15,244385,17168,755,Oct
73,The Biggest Misconception about Computer Science Degrees,2020-10-02,73748,3549,469,Oct
74,Things New Computer Science Students Need to Know,2020-09-07,116691,7660,582,Sep
75,My First Artificial Intelligence Program I Ever Coded,2020-08-31,162031,4047,154,Aug
76,The Python Open Source Computer Science Degree,2020-08-24,87148,5205,266,Aug
77,The $2500 NVIDIA TITAN RTX GPU for Machine Learning - Unboxing & Testing,2020-08-17,19445,819,115,Aug
78,A.I. Learns to Play Sonic the Hedgehog - NEAT Explained!,2020-08-10,17049,842,76,Aug
79,I made an A.I. to play Atari Breakout better than you,2020-07-10,16957,802,74,Jul
80,A.I. Learns to Play Tetris,2020-05-07,279179,11660,492,May
81,say goodbye.,2020-03-13,43830,1414,164,Mar
82,A Timeline of Everything I've Learned Coding,2020-03-10,233459,7030,898,Mar
83,Top 5 Programming Languages to Learn in 2020,2020-03-04,97202,3130,310,Mar
84,Taking the 2020 Stack Overflow Developer Survey,2020-02-27,10290,394,34,Feb
85,An Entire Software Development Life Cycle - Full Guide (Tutorial),2020-02-24,116715,4492,195,Feb
86,What's in My Software Developer Bag? 2020,2020-02-11,70416,1916,230,Feb
87,"A Day in the Life of a Coder, YouTuber, & Business Owner",2020-02-06,61144,1781,95,Feb
88,The Only Time I'll Ever Stream,2020-01-23,8137,287,26,Jan
89,I Quit My Dream Job as a Software Engineer,2020-01-22,85307,3413,281,Jan
90,A Look Back at 2019 & My Plans for 2020,2020-01-17,5512,239,31,Jan
91,The Process of Building the Website (40 hours in 14 minutes),2020-01-13,59283,1711,129,Jan
